NAMESPACE         LAST SEEN   TYPE      REASON                       OBJECT                                                        MESSAGE
kube-system       54s         Warning   DNSConfigForming             pod/coredns-7c65d6cfc9-bblr4                                  Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       49s         Normal    ArtifactUpToDate             helmchart/logging-loki                                        artifact up-to-date with remote revision: '2.10.2'
flux-system       45s         Normal    ReconciliationSucceeded      kustomization/cert-manager-issuers                            (combined from similar events): Reconciliation finished in 91.356294ms, next run in 5m0s
kube-system       36s         Warning   DNSConfigForming             pod/kube-controller-manager-master1                           Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-system       27s         Warning   DNSConfigForming             pod/etcd-master1                                              Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       24s         Normal    ArtifactUpToDate             helmchart/cert-manager-cert-manager                           artifact up-to-date with remote revision: 'v1.15.5'
flux-system       22s         Normal    Progressing                  kustomization/whoami                                          Namespace/whoami configured...
whoami            22s         Normal    Sync                         ingress/whoami                                                Scheduled for sync
kube-system       11s         Warning   DNSConfigForming             pod/kube-apiserver-master1                                    Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       5s          Normal    ArtifactUpToDate             helmchart/logging-promtail                                    artifact up-to-date with remote revision: '6.17.0'
flux-system       5s          Normal    Progressing                  kustomization/apps                                            Namespace/whoami configured...
