NAMESPACE         LAST SEEN   TYPE      REASON                       OBJECT                                                        MESSAGE
observability     32m         Normal    Created                      pod/grafana-58846857f6-wt5vk                                  Created container: init-chown-data
observability     32m         Normal    Started                      pod/grafana-58846857f6-wt5vk                                  Started container init-chown-data
observability     32m         Normal    Pulled                       pod/grafana-58846857f6-wt5vk                                  Container image "docker.io/curlimages/curl:8.9.1" already present on machine
observability     32m         Normal    Created                      pod/grafana-58846857f6-wt5vk                                  Created container: download-dashboards
observability     32m         Normal    Started                      pod/grafana-58846857f6-wt5vk                                  Started container grafana-sc-dashboard
observability     32m         Normal    Pulled                       pod/grafana-58846857f6-wt5vk                                  Container image "docker.io/grafana/grafana:11.6.1" already present on machine
observability     32m         Normal    Started                      pod/grafana-58846857f6-wt5vk                                  Started container grafana
observability     32m         Normal    Created                      pod/grafana-58846857f6-wt5vk                                  Created container: grafana
observability     32m         Normal    Pulled                       pod/grafana-58846857f6-wt5vk                                  Container image "quay.io/kiwigrid/k8s-sidecar:1.30.0" already present on machine
observability     32m         Normal    Created                      pod/grafana-58846857f6-wt5vk                                  Created container: grafana-sc-dashboard
observability     32m         Warning   Unhealthy                    pod/grafana-58846857f6-wt5vk                                  Readiness probe failed: Get "http://10.244.0.83:3000/api/health": dial tcp 10.244.0.83:3000: connect: connection refused
observability     32m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled down replica set grafana-77959b4b47 to 0 from 1
observability     32m         Normal    Killing                      pod/grafana-77959b4b47-gp8cl                                  Stopping container grafana
observability     32m         Normal    SuccessfulDelete             replicaset/grafana-77959b4b47                                 Deleted pod: grafana-77959b4b47-gp8cl
observability     32m         Normal    Killing                      pod/grafana-77959b4b47-gp8cl                                  Stopping container grafana-sc-dashboard
flux-system       30m         Warning   BuildFailed                  kustomization/observability                                   kustomize build failed: accumulating resources: accumulation err='accumulating resources from '../../dashboard': read /tmp/kustomization-2596871231/infra/observability/dashboard: is a directory': couldn't make target for path '/tmp/kustomization-2596871231/infra/observability/dashboard': unable to find one of 'kustomization.yaml', 'kustomization.yml' or 'Kustomization' in directory '/tmp/kustomization-2596871231/infra/observability/dashboard'
flux-system       28m         Normal    Progressing                  kustomization/observability                                   ConfigMap/observability/grafana-dashboard-flux-errors created...
flux-system       28m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 192.095188ms, next run in 5m0s
flux-system       28m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 125.142015ms, next run in 5m0s
observability     28m         Normal    Scheduled                    pod/grafana-d5f64bccf-xfqdg                                   Successfully assigned observability/grafana-d5f64bccf-xfqdg to master1
observability     28m         Normal    SuccessfulCreate             replicaset/grafana-d5f64bccf                                  Created pod: grafana-d5f64bccf-xfqdg
observability     28m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled up replica set grafana-d5f64bccf to 1
observability     28m         Normal    Pulled                       pod/grafana-d5f64bccf-xfqdg                                   Container image "docker.io/library/busybox:1.31.1" already present on machine
observability     28m         Normal    Created                      pod/grafana-d5f64bccf-xfqdg                                   Created container: init-chown-data
observability     28m         Normal    Started                      pod/grafana-d5f64bccf-xfqdg                                   Started container init-chown-data
observability     28m         Normal    Pulled                       pod/grafana-d5f64bccf-xfqdg                                   Container image "docker.io/curlimages/curl:8.9.1" already present on machine
observability     28m         Normal    Created                      pod/grafana-d5f64bccf-xfqdg                                   Created container: download-dashboards
observability     28m         Normal    Started                      pod/grafana-d5f64bccf-xfqdg                                   Started container download-dashboards
observability     28m         Normal    Pulled                       pod/grafana-d5f64bccf-xfqdg                                   Container image "docker.io/grafana/grafana:11.6.1" already present on machine
observability     28m         Normal    Pulled                       pod/grafana-d5f64bccf-xfqdg                                   Container image "quay.io/kiwigrid/k8s-sidecar:1.30.0" already present on machine
observability     28m         Normal    Started                      pod/grafana-d5f64bccf-xfqdg                                   Started container grafana
observability     28m         Normal    Created                      pod/grafana-d5f64bccf-xfqdg                                   Created container: grafana
observability     28m         Normal    Started                      pod/grafana-d5f64bccf-xfqdg                                   Started container grafana-sc-dashboard
observability     28m         Normal    Created                      pod/grafana-d5f64bccf-xfqdg                                   Created container: grafana-sc-dashboard
observability     28m         Warning   Unhealthy                    pod/grafana-d5f64bccf-xfqdg                                   Readiness probe failed: Get "http://10.244.0.84:3000/api/health": dial tcp 10.244.0.84:3000: connect: connection refused
observability     28m         Normal    Killing                      pod/grafana-58846857f6-wt5vk                                  Stopping container grafana
observability     28m         Normal    Killing                      pod/grafana-58846857f6-wt5vk                                  Stopping container grafana-sc-dashboard
observability     28m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled down replica set grafana-58846857f6 to 0 from 1
observability     28m         Normal    SuccessfulDelete             replicaset/grafana-58846857f6                                 Deleted pod: grafana-58846857f6-wt5vk
observability     28m         Normal    UpgradeSucceeded             helmrelease/grafana                                           Helm upgrade succeeded for release observability/grafana.v5 with chart grafana@8.15.0
flux-system       27m         Normal    DependencyNotReady           kustomization/cert-manager-issuers                            Dependencies do not meet ready condition, retrying in 30s
flux-system       27m         Normal    NewArtifact                  gitrepository/gitops                                          stored artifact for commit 'fix: dd'
flux-system       27m         Normal    Progressing                  kustomization/observability                                   ConfigMap/observability/grafana-dashboard-app-exceptions created...
flux-system       27m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 204.67972ms, next run in 5m0s
flux-system       27m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 116.43765ms, next run in 5m0s
flux-system       25m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 144.523945ms, next run in 5m0s
flux-system       21m         Normal    Succeeded                    imageupdateautomation/whoami-update                           repository up-to-date
flux-system       20m         Normal    GarbageCollectionSucceeded   gitrepository/gitops                                          garbage collected 1 artifacts
flux-system       20m         Normal    GitOperationSucceeded        gitrepository/gitops                                          no changes since last reconcilation: observed revision 'main@sha1:82be0e1413786e46df95593a17c921cfcbe0caf2'
flux-system       20m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 128.052366ms, next run in 5m0s
flux-system       15m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 137.960754ms, next run in 5m0s
flux-system       10m         Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 131.962221ms, next run in 5m0s
flux-system       8m59s       Normal    ArtifactUpToDate             helmchart/observability-kube-prometheus-stack                 artifact up-to-date with remote revision: '61.9.0'
flux-system       8m57s       Normal    ArtifactUpToDate             helmchart/observability-grafana                               artifact up-to-date with remote revision: '8.15.0'
flux-system       5m52s       Normal    ReconciliationSucceeded      kustomization/observability                                   Reconciliation finished in 189.322445ms, next run in 5m0s
kube-system       2m18s       Warning   DNSConfigForming             pod/coredns-7c65d6cfc9-v84n8                                  Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-system       117s        Warning   DNSConfigForming             pod/kube-proxy-pgfrc                                          Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-system       114s        Warning   DNSConfigForming             pod/kube-scheduler-master1                                    Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-flannel      111s        Warning   DNSConfigForming             pod/kube-flannel-ds-kcjh5                                     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-system       104s        Warning   DNSConfigForming             pod/coredns-7c65d6cfc9-bblr4                                  Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       99s         Normal    ArtifactUpToDate             helmchart/logging-loki                                        artifact up-to-date with remote revision: '2.10.2'
flux-system       95s         Normal    ReconciliationSucceeded      kustomization/cert-manager-issuers                            (combined from similar events): Reconciliation finished in 91.356294ms, next run in 5m0s
kube-system       86s         Warning   DNSConfigForming             pod/kube-controller-manager-master1                           Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
kube-system       77s         Warning   DNSConfigForming             pod/etcd-master1                                              Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       74s         Normal    ArtifactUpToDate             helmchart/cert-manager-cert-manager                           artifact up-to-date with remote revision: 'v1.15.5'
whoami            72s         Normal    Sync                         ingress/whoami                                                Scheduled for sync
flux-system       72s         Normal    Progressing                  kustomization/whoami                                          Namespace/whoami configured...
kube-system       61s         Warning   DNSConfigForming             pod/kube-apiserver-master1                                    Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       55s         Normal    Progressing                  kustomization/apps                                            Namespace/whoami configured...
flux-system       55s         Normal    ArtifactUpToDate             helmchart/logging-promtail                                    artifact up-to-date with remote revision: '6.17.0'
flux-system       50s         Normal    ArtifactUpToDate             helmchart/ingress-nginx-ingress-nginx                         artifact up-to-date with remote revision: '4.11.3'
flux-system       48s         Normal    ReconciliationSucceeded      kustomization/lab-root                                        (combined from similar events): Reconciliation finished in 91.647036ms, next run in 1m0s
flux-system       40s         Normal    ReconciliationSucceeded      kustomization/cert-manager                                    (combined from similar events): Reconciliation finished in 112.963901ms, next run in 5m0s
flux-system       39s         Normal    ReconciliationSucceeded      kustomization/observability                                   (combined from similar events): Reconciliation finished in 175.171033ms, next run in 5m0s
flux-system       35s         Normal    ArtifactUpToDate             helmrepository/ingress-nginx                                  artifact up-to-date with remote revision: 'sha256:b2fbc105a9565cd463285c01b6ecbf332bd5bede9ad476fab139b68d66a2fc4a'
flux-system       34s         Normal    ReconciliationSucceeded      kustomization/ingress-nginx                                   (combined from similar events): Reconciliation finished in 161.138338ms, next run in 1m0s
observability     27s         Warning   DNSConfigForming             pod/kube-prometheus-stack-prometheus-node-exporter-kd4dt      Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 2a01:4ff:ff00::add:2 2a01:4ff:ff00::add:1 185.12.64.1
flux-system       18s         Normal    ReconciliationSucceeded      kustomization/infra-longhorn                                  (combined from similar events): Reconciliation finished in 195.589177ms, next run in 1m0s
flux-system       2s          Normal    ArtifactUpToDate             helmchart/longhorn-system-longhorn                            artifact up-to-date with remote revision: '1.9.1'
